0: S = 8000; I = 100; R = 0
1: S = 7996; I = 100; R = 4
2: S = 7992; I = 100; R = 8
3: S = 7988; I = 100; R = 12
4: S = 7984; I = 100; R = 16
5: S = 7980; I = 100; R = 20
6: S = 7976; I = 100; R = 24
7: S = 7972; I = 100; R = 28
8: S = 7968; I = 100; R = 32
9: S = 7964; I = 100; R = 36
10: S = 7960; I = 100; R = 40
11: S = 7956; I = 100; R = 44
12: S = 7952; I = 100; R = 48
13: S = 7948; I = 100; R = 52
14: S = 7944; I = 100; R = 56
15: S = 7940; I = 100; R = 60
16: S = 7936; I = 100; R = 64
17: S = 7932; I = 100; R = 68
18: S = 7928; I = 100; R = 72
19: S = 7924; I = 100; R = 76
20: S = 7920; I = 100; R = 80
21: S = 7917; I = 100; R = 84
22: S = 7913; I = 100; R = 88
23: S = 7909; I = 99; R = 92
24: S = 7905; I = 99; R = 96
25: S = 7901; I = 99; R = 100
26: S = 7897; I = 99; R = 104
27: S = 7893; I = 99; R = 108
28: S = 7889; I = 99; R = 112
29: S = 7885; I = 99; R = 116
30: S = 7881; I = 99; R = 120
31: S = 7877; I = 99; R = 124
32: S = 7873; I = 99; R = 128
33: S = 7869; I = 99; R = 132
34: S = 7866; I = 99; R = 136
35: S = 7862; I = 99; R = 139
36: S = 7858; I = 99; R = 143
37: S = 7854; I = 99; R = 147
38: S = 7850; I = 99; R = 151
39: S = 7846; I = 99; R = 155
40: S = 7842; I = 98; R = 159
41: S = 7838; I = 98; R = 163
42: S = 7835; I = 98; R = 167
43: S = 7831; I = 98; R = 171
44: S = 7827; I = 98; R = 175
45: S = 7823; I = 98; R = 179
46: S = 7819; I = 98; R = 183
47: S = 7815; I = 98; R = 187
48: S = 7812; I = 98; R = 191
49: S = 7808; I = 98; R = 195
50: S = 7804; I = 98; R = 198
