0: S = 50000; I = 32; R = 0
1: S = 49993; I = 37; R = 1
2: S = 49985; I = 44; R = 3
3: S = 49976; I = 51; R = 5
4: S = 49965; I = 60; R = 7
5: S = 49953; I = 70; R = 9
6: S = 49938; I = 82; R = 12
7: S = 49921; I = 96; R = 15
8: S = 49901; I = 112; R = 19
9: S = 49877; I = 131; R = 23
10: S = 49850; I = 154; R = 29
11: S = 49818; I = 180; R = 35
12: S = 49780; I = 210; R = 42
13: S = 49736; I = 245; R = 50
14: S = 49685; I = 287; R = 60
15: S = 49625; I = 335; R = 72
16: S = 49555; I = 392; R = 85
17: S = 49474; I = 458; R = 101
18: S = 49379; I = 534; R = 119
19: S = 49268; I = 624; R = 140
20: S = 49139; I = 728; R = 165
21: S = 48988; I = 849; R = 194
22: S = 48814; I = 990; R = 228
23: S = 48611; I = 1153; R = 268
24: S = 48375; I = 1343; R = 314
25: S = 48103; I = 1562; R = 368
26: S = 47787; I = 1815; R = 430
27: S = 47423; I = 2106; R = 503
28: S = 47003; I = 2441; R = 587
29: S = 46521; I = 2826; R = 685
30: S = 45969; I = 3265; R = 798
31: S = 45339; I = 3765; R = 928
32: S = 44622; I = 4331; R = 1079
33: S = 43810; I = 4969; R = 1252
34: S = 42896; I = 5685; R = 1451
35: S = 41872; I = 6482; R = 1678
36: S = 40732; I = 7362; R = 1938
37: S = 39472; I = 8328; R = 2232
38: S = 38092; I = 9375; R = 2565
39: S = 36592; I = 10500; R = 2940
40: S = 34978; I = 11694; R = 3360
41: S = 33260; I = 12944; R = 3828
42: S = 31452; I = 14234; R = 4346
43: S = 29572; I = 15545; R = 4915
44: S = 27641; I = 16854; R = 5537
45: S = 25685; I = 18136; R = 6211
46: S = 23728; I = 19367; R = 6937
47: S = 21798; I = 20523; R = 7711
48: S = 19919; I = 21581; R = 8532
49: S = 18114; I = 22523; R = 9395
50: S = 16400; I = 23336; R = 10296
51: S = 14793; I = 24009; R = 11230
52: S = 13301; I = 24541; R = 12190
53: S = 11930; I = 24930; R = 13172
54: S = 10681; I = 25182; R = 14169
55: S = 9551; I = 25304; R = 15176
56: S = 8536; I = 25307; R = 16188
57: S = 7629; I = 25202; R = 17201
58: S = 6821; I = 25002; R = 18209
59: S = 6105; I = 24718; R = 19209
60: S = 5471; I = 24363; R = 20198
61: S = 4911; I = 23948; R = 21172
62: S = 4417; I = 23485; R = 22130
63: S = 3982; I = 22981; R = 23069
64: S = 3597; I = 22446; R = 23989
65: S = 3258; I = 21887; R = 24887
66: S = 2959; I = 21311; R = 25762
67: S = 2694; I = 20724; R = 26614
68: S = 2459; I = 20129; R = 27443
69: S = 2252; I = 19532; R = 28249
70: S = 2067; I = 18935; R = 29030
71: S = 1902; I = 18342; R = 29787
72: S = 1756; I = 17755; R = 30521
73: S = 1625; I = 17176; R = 31231
74: S = 1508; I = 16606; R = 31918
75: S = 1403; I = 16047; R = 32582
76: S = 1308; I = 15500; R = 33224
77: S = 1223; I = 14965; R = 33844
78: S = 1146; I = 14443; R = 34443
79: S = 1076; I = 13935; R = 35021
80: S = 1013; I = 13440; R = 35578
81: S = 956; I = 12960; R = 36116
82: S = 904; I = 12494; R = 36634
83: S = 857; I = 12041; R = 37134
84: S = 813; I = 11603; R = 37615
85: S = 774; I = 11179; R = 38080
86: S = 737; I = 10768; R = 38527
87: S = 704; I = 10370; R = 38957
88: S = 673; I = 9986; R = 39372
89: S = 645; I = 9615; R = 39772
90: S = 619; I = 9257; R = 40156
91: S = 595; I = 8910; R = 40527
92: S = 573; I = 8576; R = 40883
93: S = 552; I = 8254; R = 41226
94: S = 533; I = 7943; R = 41556
95: S = 515; I = 7643; R = 41874
96: S = 499; I = 7354; R = 42180
97: S = 483; I = 7075; R = 42474
98: S = 469; I = 6806; R = 42757
99: S = 456; I = 6547; R = 43029
100: S = 443; I = 6298; R = 43291
101: S = 431; I = 6058; R = 43543
102: S = 420; I = 5827; R = 43785
103: S = 410; I = 5604; R = 44018
104: S = 400; I = 5389; R = 44242
105: S = 391; I = 5183; R = 44458
106: S = 383; I = 4984; R = 44665
107: S = 375; I = 4793; R = 44865
108: S = 367; I = 4608; R = 45056
109: S = 360; I = 4431; R = 45241
110: S = 353; I = 4261; R = 45418
111: S = 347; I = 4097; R = 45588
112: S = 341; I = 3939; R = 45752
113: S = 336; I = 3787; R = 45910
114: S = 330; I = 3641; R = 46061
115: S = 325; I = 3500; R = 46207
116: S = 320; I = 3365; R = 46347
117: S = 316; I = 3235; R = 46481
118: S = 312; I = 3110; R = 46611
119: S = 307; I = 2989; R = 46735
120: S = 304; I = 2874; R = 46855
121: S = 300; I = 2762; R = 46970
122: S = 296; I = 2655; R = 47080
123: S = 293; I = 2552; R = 47186
124: S = 290; I = 2453; R = 47289
125: S = 287; I = 2358; R = 47387
126: S = 284; I = 2267; R = 47481
127: S = 281; I = 2179; R = 47572
128: S = 279; I = 2094; R = 47659
129: S = 276; I = 2013; R = 47743
130: S = 274; I = 1935; R = 47823
131: S = 272; I = 1860; R = 47901
132: S = 270; I = 1787; R = 47975
133: S = 268; I = 1718; R = 48046
134: S = 266; I = 1651; R = 48115
135: S = 264; I = 1587; R = 48181
136: S = 262; I = 1525; R = 48245
137: S = 261; I = 1466; R = 48306
138: S = 259; I = 1409; R = 48364
139: S = 257; I = 1354; R = 48421
140: S = 256; I = 1301; R = 48475
141: S = 255; I = 1251; R = 48527
142: S = 253; I = 1202; R = 48577
143: S = 252; I = 1155; R = 48625
144: S = 251; I = 1110; R = 48671
145: S = 250; I = 1067; R = 48716
146: S = 248; I = 1025; R = 48758
147: S = 247; I = 985; R = 48799
148: S = 246; I = 947; R = 48839
149: S = 245; I = 910; R = 48877
150: S = 244; I = 875; R = 48913
151: S = 243; I = 841; R = 48948
152: S = 243; I = 808; R = 48982
153: S = 242; I = 776; R = 49014
154: S = 241; I = 746; R = 49045
155: S = 240; I = 717; R = 49075
156: S = 240; I = 689; R = 49103
157: S = 239; I = 662; R = 49131
158: S = 238; I = 636; R = 49157
159: S = 238; I = 612; R = 49183
160: S = 237; I = 588; R = 49207
161: S = 236; I = 565; R = 49231
162: S = 236; I = 543; R = 49254
163: S = 235; I = 522; R = 49275
164: S = 235; I = 501; R = 49296
165: S = 234; I = 482; R = 49316
166: S = 234; I = 463; R = 49335
167: S = 233; I = 445; R = 49354
168: S = 233; I = 427; R = 49372
169: S = 232; I = 411; R = 49389
170: S = 232; I = 395; R = 49405
171: S = 232; I = 379; R = 49421
172: S = 231; I = 365; R = 49436
173: S = 231; I = 350; R = 49451
174: S = 231; I = 337; R = 49465
175: S = 230; I = 323; R = 49478
176: S = 230; I = 311; R = 49491
177: S = 230; I = 299; R = 49504
178: S = 229; I = 287; R = 49516
179: S = 229; I = 276; R = 49527
180: S = 229; I = 265; R = 49538
181: S = 229; I = 255; R = 49549
182: S = 228; I = 245; R = 49559
183: S = 228; I = 235; R = 49569
184: S = 228; I = 226; R = 49578
185: S = 228; I = 217; R = 49587
186: S = 227; I = 209; R = 49596
187: S = 227; I = 201; R = 49604
188: S = 227; I = 193; R = 49612
189: S = 227; I = 185; R = 49620
190: S = 227; I = 178; R = 49627
191: S = 227; I = 171; R = 49634
192: S = 226; I = 164; R = 49641
193: S = 226; I = 158; R = 49648
194: S = 226; I = 152; R = 49654
195: S = 226; I = 146; R = 49660
196: S = 226; I = 140; R = 49666
